Experiment,Method,Column,Measure,Value
6,Median,R [%],MSE,10.310624372446387
6,Median,R [%],MAE,2.4632783974576467
6,Median,R [%],MAD,1.985999999999997
6,Median,R free [%],MSE,14.552550943081263
6,Median,R free [%],MAE,3.0092428222150933
6,Median,R free [%],MAD,2.530000000000001
6,Bayesian,Clashscore,MSE,30.32349137313074
6,Bayesian,Clashscore,MAE,3.451888804512561
6,Bayesian,Clashscore,MAD,2.2146101156123947
6,Bayesian,Ramachandran outliers [%],MSE,0.7637108507058696
6,Bayesian,Ramachandran outliers [%],MAE,0.42526592822452075
6,Bayesian,Ramachandran outliers [%],MAD,0.20813705276606054
6,Bayesian,Rotamer outliers [%],MSE,6.336101650509698
6,Bayesian,Rotamer outliers [%],MAE,1.760967146632976
6,Bayesian,Rotamer outliers [%],MAD,1.262653553813586
6,Bayesian,RSRZ outliers [%],MSE,13.5323691870783
6,Bayesian,RSRZ outliers [%],MAE,2.5157273765344175
6,Bayesian,RSRZ outliers [%],MAD,1.9805899884278555
6,Bayesian,R [%],MSE,3.002571387940408
6,Bayesian,R [%],MAE,1.2887695348913897
6,Bayesian,R [%],MAD,0.9970278453851975
6,Bayesian,R free [%],MSE,3.102494233955953
6,Bayesian,R free [%],MAE,1.3006984824032528
6,Bayesian,R free [%],MAD,1.0239879154383793
7,Mean,Clashscore,MSE,107.82953738073832
7,Mean,Clashscore,MAE,6.446462650924434
7,Mean,Clashscore,MAD,4.889332620809503
7,Mean,Ramachandran outliers [%],MSE,1.9626930355699574
7,Mean,Ramachandran outliers [%],MAE,0.6429248287285843
7,Mean,Ramachandran outliers [%],MAD,0.49411371154276623
7,Mean,Rotamer outliers [%],MSE,14.576567371276123
7,Mean,Rotamer outliers [%],MAE,2.627852417676582
7,Mean,Rotamer outliers [%],MAD,2.1111584708516458
7,Mean,RSRZ outliers [%],MSE,15.934019545108725
7,Mean,RSRZ outliers [%],MAE,2.7426523606675333
7,Mean,RSRZ outliers [%],MAD,2.292592615967182
7,Mean,R [%],MSE,10.856265454644845
7,Mean,R [%],MAE,2.5022542430483465
7,Mean,R [%],MAD,1.9817955094435575
7,Mean,R free [%],MSE,14.512584441933479
7,Mean,R free [%],MAE,3.0041167602509002
7,Mean,R free [%],MAD,2.5463044841230627
7,Median,Clashscore,MSE,119.99885950413226
7,Median,Clashscore,MAE,6.107107438016529
7,Median,Clashscore,MAD,3.4799999999999995
7,Median,Ramachandran outliers [%],MSE,2.190504639922668
7,Median,Ramachandran outliers [%],MAE,0.5188641855969067
7,Median,Ramachandran outliers [%],MAD,0.04
7,Median,Rotamer outliers [%],MSE,16.24102219047619
7,Median,Rotamer outliers [%],MAE,2.408285714285714
7,Median,Rotamer outliers [%],MAD,1.3900000000000001
7,Median,RSRZ outliers [%],MSE,17.0438049596603
7,Median,RSRZ outliers [%],MAE,2.6172602972399157
7,Median,RSRZ outliers [%],MAD,1.85
7,Median,R [%],MSE,10.844368699549111
7,Median,R [%],MAE,2.4976606472536793
7,Median,R [%],MAD,1.990999999999996
7,Median,R free [%],MSE,14.51147705966318
7,Median,R free [%],MAE,3.003959599822924
7,Median,R free [%],MAD,2.546999999999997
7,Bayesian,Clashscore,MSE,32.97364466006305
7,Bayesian,Clashscore,MAE,3.926414574930937
7,Bayesian,Clashscore,MAD,2.5870610348394485
7,Bayesian,Ramachandran outliers [%],MSE,0.8087371749561658
7,Bayesian,Ramachandran outliers [%],MAE,0.4153734932751164
7,Bayesian,Ramachandran outliers [%],MAD,0.21
7,Bayesian,Rotamer outliers [%],MSE,7.3024190807562155
7,Bayesian,Rotamer outliers [%],MAE,1.800546225390374
7,Bayesian,Rotamer outliers [%],MAD,1.2336325531377388
7,Bayesian,RSRZ outliers [%],MSE,14.286510219682535
7,Bayesian,RSRZ outliers [%],MAE,2.549886910034896
7,Bayesian,RSRZ outliers [%],MAD,2.026891613304546
7,Bayesian,R [%],MSE,3.1181399071242413
7,Bayesian,R [%],MAE,1.3083590603273585
7,Bayesian,R [%],MAD,1.0008494808752921
7,Bayesian,R free [%],MSE,3.022454532122199
7,Bayesian,R free [%],MAE,1.2849983818392425
