,J1,J2,L
151350,MICROBIOLOGY,IMMUNOBIOLOGY,4
151433,MICROBIOLOGY,MICROBIOME,4
151966,AM J HEMATOL,BR J HAEMATOL,3
152784,PLOS BIOL,BMC BIOL,4
152840,PLOS BIOL,PLOS ONE,4
152846,PLOS BIOL,RNA BIOL,4
152965,PLOS BIOL,PLOS CURR,4
153003,PLOS BIOL,OPEN BIOL,4
153392,PLOS BIOL,REDOX BIOL,4
154182,MED CHEM,NAT CHEM,3
154186,MED CHEM,ANAL CHEM,4
154416,MED CHEM,MED CHEM RES,4
154483,MED CHEM,FUT MED CHEM,4
154521,MED CHEM,CHEM,4
154522,MED CHEM,FOOD CHEM,3
154619,MED CHEM,MOL THER,4
155495,CANCER CELL,CANCER LETT,3
155874,CANCER CELL,CANCER MED,3
156042,PROTEIN J,PROTEIN CELL,4
156985,EUR J MED CHEM,FUT MED CHEM,4
157822,J CELL SCI,J NEUROSCI,4
158471,BMC BIOL,RNA BIOL,3
158576,BMC BIOL,BMC BIOCHEM,4
158625,BMC BIOL,MBIO,4
158628,BMC BIOL,OPEN BIOL,4
158657,BMC BIOL,BMC BIOPHYS,4
159217,PLANT J,PLANT SCI,3
159250,PLANT J,MALAR J,4
161151,BIOCHEM RES INT,BIOMED RES INT,3
163214,ANNEXINS,TOXINS,4
164235,BMC BIOTECHNOL,MOL BIOTECHNOL,3
164321,BMC BIOTECHNOL,N BIOTECHNOL,3
164763,INT J BIOCHEM CELL BIOL,INT J BIOCHEM MOL BIOL,3
165373,INSECT BIOCHEM MOL BIOL,INT J BIOCHEM MOL BIOL,4
166494,CHEMMEDCHEM,CHEMBIOCHEM,3
166526,CHEMMEDCHEM,CHEMPLUSCHEM,4
166732,CHEMMEDCHEM,CHEMCATCHEM,3
166845,CHEMMEDCHEM,CHEMPHYSCHEM,4
170849,CELL RES,CELL METAB,4
170856,CELL RES,CELL REP,1
171001,CELL RES,VET RES,3
171186,CELL RES,CELL SURF,4
171234,CELL RES,CELL SYST,3
172665,CHEM PHYS,CHEM SCI,4
172800,CHEM PHYS,CHEM LETT,4
173083,GENE,PATENT,4
173103,GENE,ONCOGENE,4
173202,GENE,PEERJ,4
173209,GENE,ELIFE,4
173229,GENE,MBIO,4
173272,GENE,MABS,4
173413,GENE,LIFE,3
173493,GENE,CHEM,4
173504,GENE,ZENODO,4
173542,GENE,RES,3
173558,GENE,BONE,2
173581,GENE,AIDS,4
173624,GENE,JOULE,4
173633,GENE,TBD,4
176638,NAT MED,NAT METHODS,4
176715,NAT MED,NAT CHEM,3
176737,NAT MED,NAT GENET,4
176956,NAT MED,VET RES,4
178988,J NEUROSCI,J NEUROCHEM,4
179248,J NEUROSCI,J BIOSCI,4
179621,BIOORG CHEM,J ORG CHEM,3
179995,BIOORG CHEM,FOOD CHEM,4
180166,PHOTOCHEM PHOTOBIOL,PHOTOCHEM PHOTOBIOL SCI,4
180390,PHOTOCHEM PHOTOBIOL,J PHOTOCHEM PHOTOBIOL B,4
182721,CELL BIOCHEM BIOPHYS,DOKL BIOCHEM BIOPHYS,3
182810,CELL BIOCHEM BIOPHYS,PROG BIOCHEM BIOPHYS,4
183155,STEROIDS,THYROID,4
184584,ACS CHEM BIOL,CELL CHEM BIOL,4
185358,CELL CYCLE,CELL SYST,4
186651,BMB REP,SCI REP,3
186705,BMB REP,CELL REP,4
186850,BMB REP,VET RES,4
188151,MOL BIOSYST,ADV BIOSYST,3
188866,THROMB HAEMOST,J THROMB HAEMOST,2
190350,IMMUNOLOGY,IMMUNOBIOLOGY,3
190386,IMMUNOLOGY,ONCOIMMUNOLOGY,4
191770,PLOS ONE,PLOS CURR,4
191813,PLOS ONE,PLOS GENET,3
